순위, 이름,대표소환사명,최근 소속,M,W,L,승률,TK(,TD,TA,K/M,D/M,A/M,KDA,킬관여
170,오승주,Sasin,Sbenu,82,17,65,0.207,170,233,288,2.1,2.8,3.5,2,0.732
171,황성훈,Kingen,KT Rolster,38,17,21,0.447,98,81,158,2.6,2.1,4.2,3.2,0.597
172,이동욱,LokeN,JDG,45,16,29,0.356,105,82,175,2.3,1.8,3.9,3.4,0.695
173,김형규,Kellin,Gen.G e-sports,74,16,58,0.216,24,201,373,0.3,2.7,5,2,0.61
174,정상현,Kabbie,SANDBOX Gaming,47,16,31,0.34,18,124,243,0.4,2.6,5.2,2.1,0.6
175,이우석,Hiro,KT Rolster,35,15,20,0.429,135,112,217,3.9,3.2,6.2,3.1,0.655
176,임재현,Tom,SKT T1,17,15,2,0.882,30,38,130,1.8,2.2,7.6,4.2,0.587
177,서현석,Soul,CJ ENTUS,70,15,55,0.214,99,210,253,1.4,3,3.6,1.7,0.655
178,김하늘,Sky,SK Telecom T1,41,15,26,0.366,82,101,180,2,2.5,4.4,2.6,0.69
179,김민수,Mightybear,VSG,39,15,24,0.385,83,88,216,2.1,2.3,5.5,3.4,0.729
180,김근성,Malrang,kt rolster,104,15,89,0.144,168,210,373,1.6,2,3.6,2.6,0.724
181,남동현,Ben,Afreeca Freecs,30,15,15,0.5,7,71,220,0.2,2.4,7.3,3.2,0.651
182,최윤섭,Locodoco,Najin E-mpire,33,14,19,0.424,99,84,178,3,2.5,5.4,3.3,0.672
183,김승민,ManyReason,Xenics Blast,35,14,21,0.4,91,102,240,2.6,2.9,6.9,3.2,0.697
184,권민우,Lasha,LG-IM #2,33,14,19,0.424,29,91,280,0.9,2.8,8.5,3.4,0.635
185,백다훈,Swift,QG Reapers,27,14,13,0.519,79,90,207,2.9,3.3,7.7,3.2,0.687
186,오장원,Roar,Longzhu IM,45,14,31,0.311,122,129,211,2.7,2.9,4.7,2.6,0.687
187,이재원,Rich,Team Dynamics,37,14,23,0.378,87,114,147,2.4,3.1,4,2.1,0.644
188,강한울,May,Jin Air Greenwings,29,13,16,0.448,77,67,192,2.7,2.3,6.6,4,0.704
189,배지훈,SBS,TeamOP,29,13,16,0.448,109,69,156,3.8,2.4,5.4,3.8,0.712
190,손승익,Sonstar,Longzhu IM,46,13,33,0.283,132,114,197,2.9,2.5,4.3,2.9,0.68
191,이승주,Stitch,Jin Air Greenwings,30,13,17,0.433,67,65,110,2.2,2.2,3.7,2.7,0.501
192,오지환,Raise,G-Rex,41,13,28,0.317,47,122,184,1.1,3,4.5,1.9,0.752
193,유수혁,Fate,SANDBOX Gaming,28,13,15,0.464,103,52,145,3.7,1.9,5.2,4.8,0.7
194,김주언,Cover,APK Prince,25,13,12,0.52,55,74,124,2.2,3,5,2.4,0.538
195,오효성,Vsta,한화생명e스포츠,35,13,22,0.371,91,70,150,2.6,2,4.3,3.4,0.688
196,이형준,Vitamin,KT Rolster,29,12,17,0.414,87,103,190,3,3.6,6.6,2.7,0.654
197,김강환,Hermes,Team OLYMPUS,35,12,23,0.343,160,124,178,4.6,3.5,5.1,2.7,0.683
198,김범석,kish,인벤져스,38,12,26,0.316,46,147,338,1.2,3.9,8.9,2.6,0.717
199,윤경섭,Zero,Team WE,28,12,16,0.429,127,98,167,4.5,3.5,6,3,0.739
200,김태양,All IN,Afreeca Freecs,28,12,16,0.429,66,67,127,2.4,2.4,4.5,2.9,0.597
201,박범찬,Blossom,SK Telecom T1,23,12,11,0.522,35,72,122,1.5,3.1,5.3,2.2,0.681
202,서대길,deokdam,Team Dynamics,32,12,20,0.375,71,71,126,2.2,2.2,3.9,2.8,0.587
203,이현진,No1ja,인벤져스,28,11,17,0.393,52,80,203,1.9,2.9,7.3,3.2,0.678
204,정우광,Mima,CTU,27,11,16,0.407,89,105,167,3.3,3.9,6.2,2.4,0.644
205,한진희,StarLast,Jin Air Greenwings,28,11,17,0.393,28,97,239,1,3.5,8.5,2.8,0.716
206,박위림,Cepted,Ever8 Winners,41,11,30,0.268,108,109,151,2.6,2.7,3.7,2.4,0.666
207,김들,Deul,MEGA Esports,41,11,30,0.268,98,83,133,2.4,2,3.2,2.8,0.618
208,이상정,Cornsalad,TeamOP,26,10,16,0.385,94,88,154,3.6,3.4,5.9,2.8,0.663
209,정윤성,RingTroll,LG-IM,20,10,10,0.5,44,53,175,2.2,2.7,8.8,4.1,0.674
210,정철우,Apple,Longzhu IM,37,10,27,0.27,91,125,188,2.5,3.4,5.1,2.2,0.637
211,M.Voorspoels,Krepo,Evil Geniuses,14,10,4,0.714,14,40,168,1,2.9,12,4.6,0.689
212,P.Wupen,Yellowpete,Evil Geniuses,14,10,4,0.714,87,28,118,6.2,2,8.4,7.3,0.754
213,H.Hansen,Froggen,Alliance,14,10,4,0.714,73,31,133,5.2,2.2,9.5,6.6,0.775
214,S.Ellis,Snoopeh,Evil Geniuses,14,10,4,0.714,28,37,154,2,2.6,11,4.9,0.71
215,M.Petersen,Wickd,Alliance,14,10,4,0.714,54,41,119,3.9,2.9,8.5,4.2,0.681
